State,District,Latitude,Longitude,District code,Population,Households with Internet,Households with  Electric Lighting,Age 0 to 29,Age 30 to 49,Age 50+,Sex Ratio,Literacy Rate,Percent of Hindu Population,Percent of Christian Population,Percent of Muslims Population,Percent of Buddhists Population,Percent of Jains Population,Percent of Sikhs Population,Percent of Other Religions Population,Percent of people not state their Religion,Percent of Below Primary Education,Percent of Middle Education,Percent of Secondary Education,Percent of Higher Education,Percent of Graduate Education
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,545913,1399773,676401,437573,104.0,54.0,83.22803551865984,0.7703026062825932,15.34867040196603,0.07239347243697906,0.02124378021702364,0.09238300732753638,0.005722494302002677,0.46124871880799656,10.562587821669831,13.274148631990704,15.536807200935982,8.754828354567316,5.5598343612265735
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,763746,1832695,917391,641707,98.0,56.0,92.72239045306948,0.5526206729286217,6.494698373602775,0.002855084169058658,0.0060045069122470745,0.007829406071851577,0.006063374627073026,0.2075381286188928,14.41685053016264,10.85870924293764,7.3300312469830295,4.180373032935309,3.933158064523725
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,615432,1423119,747385,528736,101.0,55.0,98.66213559620498,0.6984167149443198,0.3338741910256097,0.002848566505149246,0.005919099231478954,0.0071399134479714875,0.003921403240854807,0.2857445153996465,10.794698262818365,11.81023071908917,9.304860986255111,5.427850989636397,4.484198594657865
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,527736,1206366,666394,451469,102.0,53.0,98.06587746334571,0.7614927698067882,0.7004982780785797,0.0048624979419690725,0.03476259493600697,0.016208326473230242,0.007805588801581932,0.4084924806161212,10.682396136617426,10.981908948446433,7.958117684393173,4.911293535351639,4.418517757074722
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,828077,1891954,941452,664872,100.0,59.0,93.20097273340136,0.8932760458421398,5.617899797755266,0.007202691130384083,0.01619893775963851,0.041365653013628746,0.0035871109977406897,0.21949703009984692,8.946482581444501,12.934154307266235,12.248617538809125,7.949550415421617,7.08716338094891
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1017568,2051513,1127764,755533,100.0,67.0,94.82405994870162,2.7716774795616725,2.1880300718878445,0.005308656462870139,0.040081626308177416,0.0073152778052947365,0.005359457003184686,0.1581674822693414,15.121568232999728,14.874271202748513,10.545633363356453,5.482978516959506,5.272740480867755
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,14593,96630,35018,16414,93.0,49.0,32.16912012737306,24.266323047238675,1.4396934410967037,33.989313615694954,0.06409132001133404,0.06341667453753053,7.918988571505674,0.08905320254206414,13.77963380243682,11.70779755238622,6.768043393196875,3.8056751177256354,2.4509870063281745
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,5318,53752,17922,6960,103.0,49.0,15.672893633244378,47.19278180200788,0.8285677976871266,0.5744058965561062,0.02922861863006735,0.045749142203583684,35.41491930359639,0.24145380607446942,14.884991739738213,11.249205744058965,7.895539458635151,5.731350870504511,2.960986148176388
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,14231,61993,25334,11802,98.0,63.0,28.074666881690085,18.39861309895781,2.307134073820227,0.782147680770859,0.03023766807103836,0.06954663656338823,49.78430463442659,0.553349325700002,10.016731509665973,14.078658253875462,11.023645856431552,9.573245711290745,6.591811639486362
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,3911,64379,20713,6836,103.0,40.0,5.277162344150485,55.594291672096965,0.5115339502150398,0.13141318041617794,0.08797080672487945,0.046700551718145876,37.09761501368435,1.2533124809939615,13.750597332638256,13.319431773752118,7.599157217950389,4.727616316955559,2.205786524175681
